Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,Precision,Recall,F1 Score
1,0.2447916716337204,0.25,1.547507882118225,1.362550139427185,0.0,0.0,0.0
2,0.2916666567325592,0.46875,1.398887276649475,1.333632469177246,0.0,0.0,0.0
3,0.3411458432674408,0.5104166865348816,1.3439265489578247,1.2824658155441284,0.0,0.0,0.0
4,0.4244791567325592,0.65625,1.3079320192337036,1.2520495653152466,0.0,0.0,0.0
5,0.4427083432674408,0.5729166865348816,1.2719289064407349,1.2507737874984741,0.0,0.0,0.0
6,0.484375,0.6666666865348816,1.2303105592727661,1.1976712942123413,0.0,0.0,0.0
7,0.5208333134651184,0.59375,1.219476342201233,1.1821976900100708,0.0,0.0,0.0
8,0.546875,0.6770833134651184,1.184944987297058,1.1487525701522827,0.0,0.0,0.0
9,0.546875,0.6666666865348816,1.1505390405654907,1.1016231775283813,0.0,0.0,0.0
10,0.5859375,0.6979166865348816,1.1249048709869385,1.0922106504440308,0.08333333333333333,0.010416666666666666,0.018518518518518517
11,0.5625,0.7604166865348816,1.092532753944397,1.071723222732544,0.4,0.020833333333333332,0.039603960396039604
12,0.6458333134651184,0.6770833134651184,1.0473915338516235,1.0311754941940308,0.1875,0.03125,0.05357142857142857
13,0.6041666865348816,0.75,1.0579677820205688,0.9866178035736084,0.125,0.020833333333333332,0.03571428571428571
14,0.625,0.7395833134651184,1.0358856916427612,0.9948928356170654,0.17647058823529413,0.03125,0.05309734513274336
15,0.65625,0.7708333134651184,0.9685060977935791,0.9381428360939026,0.4090909090909091,0.09375,0.15254237288135594
16,0.7239583134651184,0.8020833134651184,0.9321696758270264,0.8979554772377014,0.34615384615384615,0.09375,0.14754098360655737
17,0.6328125,0.7708333134651184,0.9368377327919006,0.8922377228736877,0.2,0.0625,0.09523809523809523
18,0.6953125,0.71875,0.9114403128623962,0.877009391784668,0.3225806451612903,0.10416666666666667,0.15748031496062992
19,0.71875,0.7604166865348816,0.8690071702003479,0.8296197056770325,0.15,0.0625,0.08823529411764706
20,0.6953125,0.7083333134651184,0.8574681878089905,0.8490965962409973,0.175,0.07291666666666667,0.10294117647058823
21,0.6953125,0.7604166865348816,0.8660356402397156,0.799877405166626,0.3,0.125,0.17647058823529413
22,0.7005208134651184,0.7291666865348816,0.8284552693367004,0.7595045566558838,0.34146341463414637,0.14583333333333334,0.20437956204379562
23,0.7291666865348816,0.7604166865348816,0.8179793953895569,0.7782077193260193,0.28888888888888886,0.13541666666666666,0.18439716312056736
24,0.7708333134651184,0.8229166865348816,0.7797151207923889,0.7170607447624207,0.30434782608695654,0.14583333333333334,0.19718309859154928
25,0.7135416865348816,0.8020833134651184,0.7845079302787781,0.7099286913871765,0.2857142857142857,0.14583333333333334,0.19310344827586207
26,0.7109375,0.84375,0.7444241642951965,0.6567293405532837,0.18,0.09375,0.1232876712328767
27,0.7057291865348816,0.7708333134651184,0.7880730032920837,0.70941561460495,0.19607843137254902,0.10416666666666667,0.1360544217687075
28,0.7213541865348816,0.84375,0.7594155669212341,0.6804007887840271,0.2033898305084746,0.125,0.15483870967741936
29,0.7734375,0.8229166865348816,0.6820242404937744,0.6192465424537659,0.40350877192982454,0.23958333333333334,0.3006535947712418
30,0.7239583134651184,0.7291666865348816,0.716119110584259,0.6954159736633301,0.3709677419354839,0.23958333333333334,0.2911392405063291
31,0.75,0.8020833134651184,0.6818138957023621,0.6563528180122375,0.25,0.14583333333333334,0.18421052631578946
32,0.7317708134651184,0.875,0.6755343079566956,0.6027747988700867,0.16393442622950818,0.10416666666666667,0.12738853503184713
33,0.75,0.8229166865348816,0.6888737678527832,0.6194683909416199,0.25,0.16666666666666666,0.2
34,0.7890625,0.8541666865348816,0.6516410708427429,0.6155735850334167,0.19117647058823528,0.13541666666666666,0.15853658536585366
35,0.7708333134651184,0.84375,0.6537144780158997,0.5599550604820251,0.35384615384615387,0.23958333333333334,0.2857142857142857
36,0.7864583134651184,0.84375,0.6221103072166443,0.5553886890411377,0.23076923076923078,0.15625,0.18633540372670807
37,0.7890625,0.8229166865348816,0.6183272004127502,0.550666093826294,0.40625,0.2708333333333333,0.325
38,0.8255208134651184,0.84375,0.5858907103538513,0.504506528377533,0.2878787878787879,0.19791666666666666,0.2345679012345679
39,0.7890625,0.8541666865348816,0.607488214969635,0.5024557709693909,0.2,0.14583333333333334,0.1686746987951807
40,0.7786458134651184,0.8645833134651184,0.5879723429679871,0.5048711895942688,0.2463768115942029,0.17708333333333334,0.20606060606060606
41,0.8177083134651184,0.8333333134651184,0.5673747658729553,0.5177035331726074,0.29850746268656714,0.20833333333333334,0.24539877300613497
42,0.7942708134651184,0.8333333134651184,0.5840299725532532,0.5250770449638367,0.24324324324324326,0.1875,0.21176470588235294
43,0.7942708134651184,0.8229166865348816,0.573042631149292,0.5514400601387024,0.34782608695652173,0.25,0.2909090909090909
44,0.8385416865348816,0.875,0.517650842666626,0.4570763111114502,0.22666666666666666,0.17708333333333334,0.19883040935672514
45,0.8072916865348816,0.84375,0.5626713037490845,0.4484825134277344,0.25675675675675674,0.19791666666666666,0.2235294117647059
46,0.8177083134651184,0.84375,0.5512070655822754,0.4767245352268219,0.3246753246753247,0.2604166666666667,0.28901734104046245
47,0.8203125,0.8645833134651184,0.5244298577308655,0.45494577288627625,0.25316455696202533,0.20833333333333334,0.22857142857142856
48,0.796875,0.8229166865348816,0.5452374815940857,0.46264830231666565,0.26666666666666666,0.20833333333333334,0.23391812865497075
