,precision,recall,f1-score,support
Block,0.2,0.125,0.15384615384615385,24.0
PatchWork,0.25925925925925924,0.2916666666666667,0.27450980392156865,24.0
Shading,0.48,0.5,0.4897959183673469,24.0
Single,0.2413793103448276,0.2916666666666667,0.2641509433962264,24.0
accuracy,0.3020833333333333,0.3020833333333333,0.3020833333333333,0.3020833333333333
macro avg,0.2951596424010217,0.30208333333333337,0.295575704882824,96.0
weighted avg,0.2951596424010217,0.3020833333333333,0.295575704882824,96.0
