Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,Precision,Recall,F1 Score
1,0.47058823704719543,0.5,0.7455306053161621,0.700284481048584,0.5,1.0,0.6666666666666666
2,0.6323529481887817,0.5555555820465088,0.6437389254570007,0.6838002800941467,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,0.5,0.5,0.739100992679596,0.6784067153930664,0.0,0.0,0.0
4,0.44117647409439087,0.8888888955116272,0.7710737586021423,0.6696531772613525,0.8181818181818182,1.0,0.9
5,0.529411792755127,0.6111111044883728,0.765744149684906,0.6653139591217041,0.5625,1.0,0.72
6,0.5882353186607361,0.8333333134651184,0.7063450813293457,0.6581965684890747,0.75,1.0,0.8571428571428571
7,0.4852941036224365,0.6111111044883728,0.7314934730529785,0.6552805304527283,0.5625,1.0,0.72
8,0.5,0.5,0.7332294583320618,0.66361004114151,0.5,1.0,0.6666666666666666
9,0.5147058963775635,0.5,0.7302008271217346,0.668248176574707,0.5,1.0,0.6666666666666666
10,0.6470588445663452,0.5,0.6553234457969666,0.6557810306549072,0.5,1.0,0.6666666666666666
11,0.6617646813392639,0.5555555820465088,0.6484736204147339,0.6410720348358154,0.5294117647058824,1.0,0.6923076923076923
12,0.5735294222831726,0.6111111044883728,0.6993973255157471,0.6364086270332336,0.5625,1.0,0.72
13,0.5882353186607361,0.8888888955116272,0.6762880682945251,0.6263436675071716,0.8181818181818182,1.0,0.9
14,0.5,1.0,0.6966559886932373,0.620989978313446,1.0,1.0,1.0
15,0.6029411554336548,0.8333333134651184,0.6773199439048767,0.6170495748519897,0.75,1.0,0.8571428571428571
16,0.5147058963775635,0.7222222089767456,0.659487247467041,0.6173399686813354,0.6428571428571429,1.0,0.782608695652174
17,0.5882353186607361,0.5555555820465088,0.6582592725753784,0.616721510887146,0.5294117647058824,1.0,0.6923076923076923
18,0.6176470518112183,0.6111111044883728,0.6480141878128052,0.6088507175445557,0.5625,1.0,0.72
19,0.7058823704719543,0.7777777910232544,0.6389124393463135,0.6014425754547119,0.6923076923076923,1.0,0.8181818181818182
20,0.6617646813392639,1.0,0.6059190630912781,0.5879834890365601,1.0,1.0,1.0
21,0.7058823704719543,0.9444444179534912,0.6275920867919922,0.5846871733665466,1.0,0.8888888888888888,0.9411764705882353
22,0.5,0.6666666865348816,0.7013713121414185,0.5892921090126038,1.0,0.3333333333333333,0.5
23,0.5882353186607361,0.7222222089767456,0.6390535831451416,0.5818226933479309,1.0,0.4444444444444444,0.6153846153846154
24,0.6029411554336548,1.0,0.6588144302368164,0.5717060565948486,1.0,1.0,1.0
25,0.7058823704719543,0.8888888955116272,0.6069478392601013,0.5712169408798218,0.8181818181818182,1.0,0.9
26,0.6029411554336548,0.8333333134651184,0.6436513066291809,0.5722996592521667,0.75,1.0,0.8571428571428571
27,0.8088235259056091,0.8333333134651184,0.5674232840538025,0.5738740563392639,0.75,1.0,0.8571428571428571
28,0.8529411554336548,0.9444444179534912,0.5575443506240845,0.563408613204956,0.9,1.0,0.9473684210526315
29,0.7941176295280457,1.0,0.5571070909500122,0.5577213168144226,1.0,1.0,1.0
30,0.779411792755127,0.8888888955116272,0.5780629515647888,0.5563572645187378,0.8181818181818182,1.0,0.9
31,0.7941176295280457,0.8333333134651184,0.5593857765197754,0.5619325041770935,0.75,1.0,0.8571428571428571
32,0.75,0.7222222089767456,0.559280514717102,0.5648865103721619,0.6428571428571429,1.0,0.782608695652174
33,0.6323529481887817,0.7222222089767456,0.6137169599533081,0.5646793246269226,0.6428571428571429,1.0,0.782608695652174
34,0.720588207244873,0.8333333134651184,0.5899888873100281,0.5492493510246277,0.75,1.0,0.8571428571428571
35,0.75,0.8333333134651184,0.5455767512321472,0.5378403067588806,0.75,1.0,0.8571428571428571
36,0.75,0.8333333134651184,0.5677067041397095,0.5343857407569885,0.75,1.0,0.8571428571428571
37,0.8235294222831726,0.8333333134651184,0.5288490056991577,0.5308719873428345,0.75,1.0,0.8571428571428571
38,0.8529411554336548,0.8333333134651184,0.5400458574295044,0.522643506526947,0.75,1.0,0.8571428571428571
39,0.8235294222831726,0.8888888955116272,0.5040985941886902,0.5109515190124512,0.8181818181818182,1.0,0.9
40,0.7647058963775635,0.8888888955116272,0.5606208443641663,0.505977213382721,0.8181818181818182,1.0,0.9
41,0.8529411554336548,0.8333333134651184,0.5095176100730896,0.506330668926239,0.75,1.0,0.8571428571428571
42,0.8088235259056091,0.7222222089767456,0.5307539701461792,0.5273686051368713,0.6428571428571429,1.0,0.782608695652174
43,0.779411792755127,0.6666666865348816,0.5216562151908875,0.530354917049408,0.6,1.0,0.75
44,0.8088235259056091,0.8333333134651184,0.5154076814651489,0.5144887566566467,0.75,1.0,0.8571428571428571
45,0.8970588445663452,0.8333333134651184,0.49639713764190674,0.5067662596702576,0.75,1.0,0.8571428571428571
