Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,Precision,Recall,F1 Score
1,0.5,0.5,0.7634102702140808,0.7062193751335144,0.0,0.0,0.0
2,0.5054945349693298,0.5,0.7004560828208923,0.6566236019134521,0.5,1.0,0.6666666666666666
3,0.6978021860122681,0.5,0.6434836983680725,0.6171514391899109,0.0,0.0,0.0
4,0.7032967209815979,0.8478260636329651,0.6165831685066223,0.5214487910270691,0.7666666666666667,1.0,0.8679245283018868
5,0.7417582273483276,0.8695651888847351,0.5559836626052856,0.45008954405784607,0.84,0.9130434782608695,0.875
6,0.7582417726516724,0.8695651888847351,0.5323826670646667,0.38929662108421326,0.8148148148148148,0.9565217391304348,0.88
7,0.8131868243217468,0.8478260636329651,0.48126187920570374,0.37287330627441406,0.7666666666666667,1.0,0.8679245283018868
8,0.7582417726516724,0.8478260636329651,0.47152021527290344,0.32815930247306824,0.7666666666666667,1.0,0.8679245283018868
9,0.8351648449897766,0.9130434989929199,0.4099448025226593,0.29792192578315735,0.8518518518518519,1.0,0.92
10,0.7967032790184021,0.9130434989929199,0.4221198260784149,0.27656790614128113,0.8518518518518519,1.0,0.92
11,0.8186812996864319,0.9130434989929199,0.4139268398284912,0.2694154679775238,0.8518518518518519,1.0,0.92
12,0.8461538553237915,0.9347826242446899,0.3854854702949524,0.25765830278396606,0.8846153846153846,1.0,0.9387755102040817
13,0.8461538553237915,0.695652186870575,0.38020676374435425,0.42147374153137207,0.9090909090909091,0.43478260869565216,0.5882352941176471
14,0.7857142686843872,0.8695651888847351,0.4384998679161072,0.2862694561481476,0.7931034482758621,1.0,0.8846153846153846
15,0.8131868243217468,0.9347826242446899,0.4302333891391754,0.2589327096939087,0.8846153846153846,1.0,0.9387755102040817
16,0.8351648449897766,0.9347826242446899,0.38511309027671814,0.25004175305366516,0.8846153846153846,1.0,0.9387755102040817
17,0.8406593203544617,0.9347826242446899,0.3676897883415222,0.24238847196102142,0.8846153846153846,1.0,0.9387755102040817
18,0.8186812996864319,0.9347826242446899,0.3721696138381958,0.24224290251731873,0.8846153846153846,1.0,0.9387755102040817
19,0.8131868243217468,0.9347826242446899,0.3749287724494934,0.24030612409114838,0.8846153846153846,1.0,0.9387755102040817
20,0.8131868243217468,0.9347826242446899,0.4157888889312744,0.2404223084449768,0.8846153846153846,1.0,0.9387755102040817
21,0.8571428656578064,0.9347826242446899,0.32764971256256104,0.24274896085262299,0.8846153846153846,1.0,0.9387755102040817
22,0.8461538553237915,0.9347826242446899,0.3528686463832855,0.23810042440891266,0.8846153846153846,1.0,0.9387755102040817
23,0.8131868243217468,0.9130434989929199,0.37658897042274475,0.23837263882160187,0.88,0.9565217391304348,0.9166666666666666
24,0.8571428656578064,0.9347826242446899,0.35547444224357605,0.23190747201442719,0.8846153846153846,1.0,0.9387755102040817
25,0.8626373410224915,0.8478260636329651,0.33896613121032715,0.2960143983364105,0.9,0.782608695652174,0.8372093023255814
26,0.8516483306884766,0.9347826242446899,0.36248379945755005,0.24167931079864502,0.8846153846153846,1.0,0.9387755102040817
27,0.8131868243217468,0.9130434989929199,0.4244976341724396,0.2451886683702469,0.88,0.9565217391304348,0.9166666666666666
28,0.8186812996864319,0.9130434989929199,0.3835878372192383,0.24944479763507843,0.88,0.9565217391304348,0.9166666666666666
29,0.8571428656578064,0.9347826242446899,0.33639952540397644,0.25161057710647583,0.8846153846153846,1.0,0.9387755102040817
