Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,Precision,Recall,F1 Score
1,0.5,0.5,0.7600846886634827,0.7155159711837769,0.5,1.0,0.6666666666666666
2,0.5659340620040894,0.6086956262588501,0.728066086769104,0.6788673996925354,1.0,0.21739130434782608,0.35714285714285715
3,0.5384615659713745,0.5,0.717015266418457,0.6740756034851074,0.0,0.0,0.0
4,0.5219780206680298,0.8478260636329651,0.7153330445289612,0.6605513095855713,0.9444444444444444,0.7391304347826086,0.8292682926829268
5,0.5879120826721191,0.6086956262588501,0.6762010455131531,0.6536411643028259,0.5609756097560976,1.0,0.71875
6,0.6098901033401489,0.804347813129425,0.6523075103759766,0.6441673040390015,0.7333333333333333,0.9565217391304348,0.8301886792452831
7,0.5824176073074341,0.717391312122345,0.6637459993362427,0.6383512020111084,0.9166666666666666,0.4782608695652174,0.6285714285714286
8,0.5769230723381042,0.6739130616188049,0.6531761884689331,0.6315661072731018,0.9,0.391304347826087,0.5454545454545454
9,0.6318681240081787,0.8260869383811951,0.6508409976959229,0.6211087703704834,0.9411764705882353,0.6956521739130435,0.8
10,0.7032967209815979,0.804347813129425,0.6136334538459778,0.6105266809463501,0.8181818181818182,0.782608695652174,0.8
11,0.6648351550102234,0.8695651888847351,0.6185953617095947,0.6062501668930054,0.9473684210526315,0.782608695652174,0.8571428571428571
12,0.692307710647583,0.782608687877655,0.6226954460144043,0.6023347973823547,0.9333333333333333,0.6086956521739131,0.7368421052631579
13,0.6758241653442383,0.695652186870575,0.6173036098480225,0.5978346467018127,0.9090909090909091,0.43478260869565216,0.5882352941176471
14,0.7032967209815979,0.8478260636329651,0.6082905530929565,0.5806430578231812,0.9,0.782608695652174,0.8372093023255814
15,0.7527472376823425,0.8260869383811951,0.5850615501403809,0.572117269039154,0.8571428571428571,0.782608695652174,0.8181818181818182
16,0.7307692170143127,0.6521739363670349,0.5914005637168884,0.5833604335784912,0.8888888888888888,0.34782608695652173,0.5
17,0.6813187003135681,0.8478260636329651,0.5893261432647705,0.559101939201355,0.9,0.782608695652174,0.8372093023255814
18,0.7307692170143127,0.8478260636329651,0.5704243183135986,0.5492763519287109,0.8636363636363636,0.8260869565217391,0.8444444444444444
19,0.7692307829856873,0.717391312122345,0.549075186252594,0.5597912073135376,0.9166666666666666,0.4782608695652174,0.6285714285714286
