Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,Precision,Recall,F1 Score
1,0.4337349534034729,0.3214285671710968,4.2487053871154785,1.0765804052352905,0.32142857142857145,0.32142857142857145,0.32142857142857145
2,0.5421686768531799,0.75,0.8189061284065247,0.5964853167533875,0.6071428571428571,0.6071428571428571,0.6071428571428571
3,0.5301204919815063,0.75,0.6529349088668823,0.4095868170261383,0.6071428571428571,0.6071428571428571,0.6071428571428571
4,0.7951807379722595,0.75,0.47986847162246704,0.4255658686161041,0.4642857142857143,0.4642857142857143,0.4642857142857143
5,0.8674699068069458,0.9285714030265808,0.30005496740341187,0.16526426374912262,0.6428571428571429,0.6428571428571429,0.6428571428571429
6,0.8795180916786194,0.8571428656578064,0.311052531003952,0.23066650331020355,0.42857142857142855,0.42857142857142855,0.42857142857142855
7,0.8795180916786194,0.75,0.3096303939819336,0.6322925686836243,0.6071428571428571,0.6071428571428571,0.6071428571428571
8,0.8554216623306274,0.6071428656578064,0.44088542461395264,1.0428560972213745,0.42857142857142855,0.42857142857142855,0.42857142857142855
9,0.7831325531005859,0.9642857313156128,0.5552729964256287,0.15270306169986725,0.6428571428571429,0.6428571428571429,0.6428571428571429
10,0.8554216623306274,0.7142857313156128,0.31706151366233826,0.567668616771698,0.42857142857142855,0.42857142857142855,0.42857142857142855
11,0.9156626462936401,0.8214285969734192,0.20595669746398926,0.3865984380245209,0.5714285714285714,0.5714285714285714,0.5714285714285714
12,0.8795180916786194,0.8214285969734192,0.3144778609275818,0.3938226103782654,0.42857142857142855,0.42857142857142855,0.42857142857142855
13,0.8795180916786194,0.9285714030265808,0.24242866039276123,0.22435863316059113,0.4642857142857143,0.4642857142857143,0.4642857142857143
14,0.891566276550293,0.9642857313156128,0.2557474970817566,0.1357627660036087,0.7142857142857143,0.7142857142857143,0.7142857142857143
15,0.9759036302566528,0.75,0.10254007577896118,0.4294421672821045,0.5,0.5,0.5
16,0.9156626462936401,0.9285714030265808,0.19738557934761047,0.1945585161447525,0.42857142857142855,0.42857142857142855,0.42857142857142855
17,0.9518072009086609,0.8928571343421936,0.13298387825489044,0.2746897041797638,0.5,0.5,0.5
18,0.9397590160369873,0.8928571343421936,0.16820307075977325,0.2313736528158188,0.6071428571428571,0.6071428571428571,0.6071428571428571
19,0.9397590160369873,0.7857142686843872,0.15410733222961426,0.3828768730163574,0.5357142857142857,0.5357142857142857,0.5357142857142857
